Pengujian Ke,K,Alpha,Beta,Accuracy
Pengujian Ke- 1,3,0.3,0.1,0.7886792452830189
Pengujian Ke- 2,3,0.3,0.2,0.6968553459119496
Pengujian Ke- 3,3,0.4,0.1,0.5974842767295597
Pengujian Ke- 4,3,0.4,0.2,0.650314465408805
Pengujian Ke- 5,4,0.3,0.1,0.5911949685534591
Pengujian Ke- 6,4,0.3,0.2,0.6792452830188679
Pengujian Ke- 7,4,0.4,0.1,0.5132075471698113
Pengujian Ke- 8,4,0.4,0.2,0.6691823899371069
Pengujian Ke- 9,5,0.3,0.1,0.6465408805031446
Pengujian Ke- 10,5,0.3,0.2,0.6389937106918239
Pengujian Ke- 11,5,0.4,0.1,0.6364779874213836
Pengujian Ke- 12,5,0.4,0.2,0.589937106918239
